"통계분류(1)","통계분류(2)",시점,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"가구소득","200~300만원 미만",2022,355,464,246,176,102,196,115,133,686,1435,474,944,670,1080,830,971,1002
"가구소득","300~400만원 미만",2018,857,2800,533,842,511,799,386,162,2378,6275,1393,2376,1199,3115,2078,3183,2626
"가구소득","300~400만원 미만",2019,1542,1990,820,1169,612,804,573,112,2624,5814,1593,2549,1932,2825,2745,3205,2042
"가구소득","300~400만원 미만",2020,546,842,275,553,265,510,388,102,1994,2315,887,1642,1555,1915,1461,2582,1658
"가구소득","300~400만원 미만",2021,528,891,240,341,203,434,263,36,1237,2757,786,1527,1103,1542,1422,1854,1506
"가구소득","300~400만원 미만",2022,561,1184,340,365,171,442,200,137,1702,3141,961,1682,1148,2015,1716,1985,1823
"가구소득","400~500만원 미만",2018,928,3572,828,983,563,1070,455,101,2863,6047,1075,2462,1854,3559,2916,3132,2772
"가구소득","400~500만원 미만",2019,1276,2558,616,1229,474,1066,527,180,3035,6485,1439,3261,2658,2923,3359,2950,2542
"가구소득","400~500만원 미만",2020,459,1019,226,271,298,319,181,125,2002,3205,993,1924,1512,1963,1368,1848,1891
"가구소득","400~500만원 미만",2021,569,660,247,367,125,369,254,48,1246,2759,840,1433,1261,2135,1581,2141,1791
"가구소득","400~500만원 미만",2022,477,1087,382,515,145,361,237,162,1462,2994,1071,1987,1342,1820,1862,2597,2021
"가구소득","500~600만원 미만",2018,1614,2753,465,604,361,595,344,82,2951,7818,1227,3074,1904,3838,3327,3298,2884
"가구소득","500~600만원 미만",2019,932,2164,692,660,543,855,613,279,2483,5924,1506,2665,2177,2750,2772,2004,2338
"가구소득","500~600만원 미만",2020,399,691,139,397,266,431,295,63,1682,3186,949,1725,1087,1515,1182,1400,1606
"가구소득","500~600만원 미만",2021,460,888,240,315,148,260,151,24,1570,3945,861,1382,1114,1981,1395,2117,2078
"가구소득","500~600만원 미만",2022,753,1517,316,625,252,376,382,116,2178,4259,1116,2235,1526,2305,2312,1999,2603
"가구소득","600만원 이상",2018,916,3028,381,703,336,735,224,65,1733,6761,1018,1693,1190,2688,3650,3292,3037
"가구소득","600만원 이상",2019,1011,2031,718,1184,433,581,240,141,2875,5652,1437,1955,1574,2533,1856,2048,2068
"가구소득","600만원 이상",2020,579,1240,285,453,158,450,290,149,1905,4308,850,1585,1237,1620,1487,1397,1968
"가구소득","600만원 이상",2021,518,1318,270,769,178,283,220,87,1990,4632,919,1676,1191,1752,2160,1781,3675
"가구소득","600만원 이상",2022,775,2034,503,1185,252,586,527,66,2782,9220,1613,3223,1865,3362,3159,3443,5470
"가구소득","무응답",2018,51,78,135,192,48,17,37,59,16,174,89
